head verdictExported function jwksFetches 362 captured 441 rows test/prod/grace/limiter 162 161 6 7
merged17r2 verdictExported function jwksFetches 362 captured 720 rows test/prod/grace/limiter 162 161 6 7
=== test
U03 consent/../../erasures         POST  /api/gdpr/consent/../../erasures             noscope         | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U03 consent/../../erasures         POST  /api/gdpr/consent/../../erasures             scope           | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U04 %E9rasures                     POST  /api/gdpr/%E9rasures                         noscope         | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U04 %E9rasures                     POST  /api/gdpr/%E9rasures                         scope           | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U05 abs %zzrasures                 POST  http://127.0.0.1/api/gdpr/%zzrasures         noscope         | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U05 abs %zzrasures                 POST  http://127.0.0.1/api/gdpr/%zzrasures         scope           | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U06 %zz alone GET                  GET   /api/gdpr/%zz                                noscope         | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U06 %zz alone GET                  GET   /api/gdpr/%zz                                scope           | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U07 /.. GET                        GET   /api/gdpr/..                                 noscope         | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U07 /.. GET                        GET   /api/gdpr/..                                 scope           | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U08 erasures/../%zz GET            GET   /api/gdpr/erasures/../%zz                    noscope         | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U08 erasures/../%zz GET            GET   /api/gdpr/erasures/../%zz                    scope           | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
W01 erasures/.. GET                GET   /api/gdpr/erasures/..                        noscope         | 200 h1 GET /api/gdpr/erasures/.. || 200 h1 GET /api/gdpr/erasures/..
W01 erasures/.. GET                GET   /api/gdpr/erasures/..                        scope           | 200 h1 GET /api/gdpr/erasures/.. || 200 h1 GET /api/gdpr/erasures/..
W01 erasures/.. GET                GET   /api/gdpr/erasures/..                        user            | 200 h1 GET /api/gdpr/erasures/.. || 200 h1 GET /api/gdpr/erasures/..
W02 erasures/%2e%2e GET            GET   /api/gdpr/erasures/%2e%2e                    noscope         | 200 h1 GET /api/gdpr/erasures/%2e%2e || 200 h1 GET /api/gdpr/erasures/%2e%2e
W02 erasures/%2e%2e GET            GET   /api/gdpr/erasures/%2e%2e                    scope           | 200 h1 GET /api/gdpr/erasures/%2e%2e || 200 h1 GET /api/gdpr/erasures/%2e%2e
W03 erasures/..;x GET              GET   /api/gdpr/erasures/..;x                      noscope         | 200 h1 GET /api/gdpr/erasures/..;x || 200 h1 GET /api/gdpr/erasures/..;x
W03 erasures/..;x GET              GET   /api/gdpr/erasures/..;x                      scope           | 200 h1 GET /api/gdpr/erasures/..;x || 200 h1 GET /api/gdpr/erasures/..;x
W04 erasures/%2e%2e%2fabc GET      GET   /api/gdpr/erasures/%2e%2e%2fabc              noscope         | 200 h1 GET /api/gdpr/erasures/%2e%2e%2fabc || 200 h1 GET /api/gdpr/erasures/%2e%2e%2fabc
W04 erasures/%2e%2e%2fabc GET      GET   /api/gdpr/erasures/%2e%2e%2fabc              scope           | 200 h1 GET /api/gdpr/erasures/%2e%2e%2fabc || 200 h1 GET /api/gdpr/erasures/%2e%2e%2fabc
W05 erasures/.%2e GET              GET   /api/gdpr/erasures/.%2e                      noscope         | 200 h1 GET /api/gdpr/erasures/.%2e || 200 h1 GET /api/gdpr/erasures/.%2e
W05 erasures/.%2e GET              GET   /api/gdpr/erasures/.%2e                      scope           | 200 h1 GET /api/gdpr/erasures/.%2e || 200 h1 GET /api/gdpr/erasures/.%2e
W06 erasures/.. POST               POST  /api/gdpr/erasures/..                        noscope         | 405/METHOD_NOT_ALLOWED h0 || 405/METHOD_NOT_ALLOWED h0
W06 erasures/.. POST               POST  /api/gdpr/erasures/..                        scope           | 405/METHOD_NOT_ALLOWED h0 || 405/METHOD_NOT_ALLOWED h0
W07 abs erasures/.. GET            GET   http://127.0.0.1/api/gdpr/erasures/..        noscope         | 200 h1 GET /api/gdpr/erasures/.. || 200 h1 GET /api/gdpr/erasures/..
W07 abs erasures/.. GET            GET   http://127.0.0.1/api/gdpr/erasures/..        scope           | 200 h1 GET /api/gdpr/erasures/.. || 200 h1 GET /api/gdpr/erasures/..
N01 %63onsent/check                GET   /api/gdpr/%63onsent/check                    noscope         | 200 h1 GET /api/gdpr/%63onsent/check || 200 h1 GET /api/gdpr/%63onsent/check
N01 %63onsent/check                GET   /api/gdpr/%63onsent/check                    scope           | 200 h1 GET /api/gdpr/%63onsent/check || 200 h1 GET /api/gdpr/%63onsent/check
N02 consent/%zz                    GET   /api/gdpr/consent/%zz                        noscope         | 200 h1 GET /api/gdpr/consent/%zz || 200 h1 GET /api/gdpr/consent/%zz
N02 consent/%zz                    GET   /api/gdpr/consent/%zz                        scope           | 200 h1 GET /api/gdpr/consent/%zz || 200 h1 GET /api/gdpr/consent/%zz
N03 CONSENT/check                  GET   /api/gdpr/CONSENT/check                      noscope         | 200 h1 GET /api/gdpr/CONSENT/check || 200 h1 GET /api/gdpr/CONSENT/check
N03 CONSENT/check                  GET   /api/gdpr/CONSENT/check                      scope           | 200 h1 GET /api/gdpr/CONSENT/check || 200 h1 GET /api/gdpr/CONSENT/check
N04 consent//check                 GET   /api/gdpr/consent//check                     noscope         | 200 h1 GET /api/gdpr/consent/check || 200 h1 GET /api/gdpr/consent/check
N04 consent//check                 GET   /api/gdpr/consent//check                     scope           | 200 h1 GET /api/gdpr/consent/check || 200 h1 GET /api/gdpr/consent/check
N05 erasuresX                      POST  /api/gdpr/erasuresX                          noscope         | 200 h1 POST /api/gdpr/erasuresX || 200 h1 POST /api/gdpr/erasuresX
N05 erasuresX                      POST  /api/gdpr/erasuresX                          scope           | 200 h1 POST /api/gdpr/erasuresX || 200 h1 POST /api/gdpr/erasuresX
N06 erasures.json                  POST  /api/gdpr/erasures.json                      noscope         | 200 h1 POST /api/gdpr/erasures.json || 200 h1 POST /api/gdpr/erasures.json
N06 erasures.json                  POST  /api/gdpr/erasures.json                      scope           | 200 h1 POST /api/gdpr/erasures.json || 200 h1 POST /api/gdpr/erasures.json
N07 erasures%3bx=1                 POST  /api/gdpr/erasures%3bx=1                     noscope         | 200 h1 POST /api/gdpr/erasures%3bx=1 || 200 h1 POST /api/gdpr/erasures%3bx=1
N07 erasures%3bx=1                 POST  /api/gdpr/erasures%3bx=1                     scope           | 200 h1 POST /api/gdpr/erasures%3bx=1 || 200 h1 POST /api/gdpr/erasures%3bx=1
N08 abs consent/check?next=/erasur GET   http://127.0.0.1/api/gdpr/consent/check?next noscope         | 200 h1 GET /api/gdpr/consent/check?next=/erasures || 200 h1 GET /api/gdpr/consent/check?next=/erasures
N08 abs consent/check?next=/erasur GET   http://127.0.0.1/api/gdpr/consent/check?next scope           | 200 h1 GET /api/gdpr/consent/check?next=/erasures || 200 h1 GET /api/gdpr/consent/check?next=/erasures
N09 consent/check?x=%zz            GET   /api/gdpr/consent/check?x=%zz                noscope         | 200 h1 GET /api/gdpr/consent/check?x=%zz || 200 h1 GET /api/gdpr/consent/check?x=%zz
N09 consent/check?x=%zz            GET   /api/gdpr/consent/check?x=%zz                scope           | 200 h1 GET /api/gdpr/consent/check?x=%zz || 200 h1 GET /api/gdpr/consent/check?x=%zz
N10 bare mount                     GET   /api/gdpr                                    noscope         | 200 h1 GET /api/gdpr || 200 h1 GET /api/gdpr
N10 bare mount                     GET   /api/gdpr                                    scope           | 200 h1 GET /api/gdpr || 200 h1 GET /api/gdpr
N11 consent/%E9                    GET   /api/gdpr/consent/%E9                        noscope         | 200 h1 GET /api/gdpr/consent/%E9 || 200 h1 GET /api/gdpr/consent/%E9
N11 consent/%E9                    GET   /api/gdpr/consent/%E9                        scope           | 200 h1 GET /api/gdpr/consent/%E9 || 200 h1 GET /api/gdpr/consent/%E9
O POST /consent                    POST  /api/gdpr/consent                            noscope         | 200 h1 POST /api/gdpr/consent || 200 h1 POST /api/gdpr/consent
O POST /consent                    POST  /api/gdpr/consent                            scope           | 200 h1 POST /api/gdpr/consent || 200 h1 POST /api/gdpr/consent
O POST /consent/withdraw           POST  /api/gdpr/consent/withdraw                   noscope         | 200 h1 POST /api/gdpr/consent/withdraw || 200 h1 POST /api/gdpr/consent/withdraw
O POST /consent/withdraw           POST  /api/gdpr/consent/withdraw                   scope           | 200 h1 POST /api/gdpr/consent/withdraw || 200 h1 POST /api/gdpr/consent/withdraw
O GET /consent/check               GET   /api/gdpr/consent/check                      noscope         | 200 h1 GET /api/gdpr/consent/check || 200 h1 GET /api/gdpr/consent/check
O GET /consent/check               GET   /api/gdpr/consent/check                      scope           | 200 h1 GET /api/gdpr/consent/check || 200 h1 GET /api/gdpr/consent/check
O GET /consent/:userId             GET   /api/gdpr/consent/u-1                        noscope         | 200 h1 GET /api/gdpr/consent/u-1 || 200 h1 GET /api/gdpr/consent/u-1
O GET /consent/:userId             GET   /api/gdpr/consent/u-1                        scope           | 200 h1 GET /api/gdpr/consent/u-1 || 200 h1 GET /api/gdpr/consent/u-1
O POST /dsr                        POST  /api/gdpr/dsr                                noscope         | 200 h1 POST /api/gdpr/dsr || 200 h1 POST /api/gdpr/dsr
O POST /dsr                        POST  /api/gdpr/dsr                                scope           | 200 h1 POST /api/gdpr/dsr || 200 h1 POST /api/gdpr/dsr
O GET /dsr/pending                 GET   /api/gdpr/dsr/pending                        noscope         | 200 h1 GET /api/gdpr/dsr/pending || 200 h1 GET /api/gdpr/dsr/pending
O GET /dsr/pending                 GET   /api/gdpr/dsr/pending                        scope           | 200 h1 GET /api/gdpr/dsr/pending || 200 h1 GET /api/gdpr/dsr/pending
O GET /dsr/:dsrId                  GET   /api/gdpr/dsr/u-1                            noscope         | 200 h1 GET /api/gdpr/dsr/u-1 || 200 h1 GET /api/gdpr/dsr/u-1
