drafter_extra_table 2026-09-17 17:05:27 AEST
== test
  M /api/gdpr;x/erasures/..          noscope  test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr;x/erasures/..          scope    test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/%67dpr/erasures/abc         noscope  test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/%67dpr/erasures/abc         scope    test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr/./erasures/abc         noscope  test    | verdict r1              r2              | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  M /api/gdpr/./erasures/abc         scope    test    | verdict r1              r2              | r1 200 - 1 GET /api/gdpr/./erasures/abc             | r2 200 - 1 GET /api/gdpr/./erasures/abc             
  M /api//gdpr/erasures/..           noscope  test    | verdict r1              r2              | r1 200 - 1 GET /api/gdpr/erasures/..                | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /api//gdpr/erasures/..           scope    test    | verdict r1              r2              | r1 200 - 1 GET /api/gdpr/erasures/..                | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /api/x/%2e%2e/gdpr/erasures/abc  noscope  test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/x/%2e%2e/gdpr/erasures/abc  scope    test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr%2ferasures/abc         noscope  test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr%2ferasures/abc         scope    test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr/erasures/abc           noscope  test    | verdict r1              r2              | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  M /api/gdpr/erasures/abc           scope    test    | verdict r1              r2              | r1 200 - 1 GET /api/gdpr/erasures/abc               | r2 200 - 1 GET /api/gdpr/erasures/abc               
  M /api/gdpr/erasures/..            noscope  test    | verdict r1              r2              | r1 200 - 1 GET /api/gdpr/erasures/..                | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /api/gdpr/erasures/..            scope    test    | verdict r1              r2              | r1 200 - 1 GET /api/gdpr/erasures/..                | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /api/./gdpr/erasures/..          noscope  production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/./gdpr/erasures/..          scope    production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
